speaker,party,adjectives,text_preview,adjectives_str
Saadet Sönmez,LINKE,"['wichtig', 'sicheren', 'gute']"," 

Frau Präsidentin, sehr geehrte Damen und Herren! Auch 
ich freue mich natürlich sehr darüber, dass die ersten 
Flüchtlinge in Hessen ihre Berufsausbildung abgeschlossen 
haben. Ich gratuliere allen","wichtig, sicheren, gute"
Birgit Heitland,CDU,"['guten', 'integriert', 'integriert', 'gut']"," 

Sehr geehrte Frau Präsidentin, liebe Kolleginnen und Kollegen! 
Die Ursachen von Migration sind vielseitig. Flucht 
ist eine von ihnen. Viele Menschen stammen aus den Krisenregionen 
dieser Welt. W","guten, integriert, integriert, gut"
Robert Lambrou,AfD,"['integriert', 'integriert']"," Wir wären froh, wenn Sie 
Erfolg hätten!) 

Wir hingegen arbeiten daran, dass es gelingt, meine sehr 
verehrten Damen und Herren. 

(Beifall CDU und BÜNDNIS 90/DIE GRÜNEN) 

Wir haben als einziges Bu","integriert, integriert"
Robert Lambrou,AfD,['qualifiziert']," Deshalb scheitert sie auch 
oft!) 

Deswegen darf ich mich an dieser Stelle noch einmal ausdrücklich 
bei all denen bedanken, die jeden Tag daran arbeiten, 
dass das gelingt. 

(Beifall CDU und BÜNDN",qualifiziert
Robert Lambrou,AfD,"['integriert', 'gut', 'gut', 'gut']"," Wie viele Geflüchtete sind 
gekommen? 200 oder ein paar mehr?) 

In der Sozialwirtschaft sind Fachkräfte ebenfalls ganz besonders 
gefragt. Deswegen will ich an dieser Stelle noch 
einmal ausdrücklic","integriert, gut, gut, gut"
Robert Lambrou,AfD,"['gute', 'gute']"," Ich habe damit 
kein Problem!) 

Herr Lambrou, wir alle wünschen uns nicht, dass wir pflegebedürftig 
werden. Die Statistik sagt aber, dass das vielen 
von uns im Alter passieren wird. Wenn es so wei","gute, gute"
Robert Lambrou,AfD,"['gut', 'wichtige']"," Das ist eine gewagte These!) 

Deswegen ist das auch ein Beitrag dazu, dass es wirtschaftlich 
weiter gut läuft. Darüber darf sich man sich auch einmal 
freuen  außer wenn man nur von Problemen lebt","gut, wichtige"
Tobias Utter,CDU,['humanitäre']," 

Sehr geehrte Frau Präsidentin, liebe Kolleginnen und Kollegen! 
Die Tragödie in Syrien geht weiter. Durch den völkerrechtswidrigen 
Einmarsch türkischer Truppen in Nordsyrien 
wird der Konflikt ern",humanitäre
Jan Schalauske,LINKE,['legale']," Das stimmt doch 
einfach nicht!) 

Trotzdem müssen die Studenten nun mit den bessergestellten 
Flüchtlingen um denselben Wohnraum konkurrieren, 
und das kann nicht sein. 

(Beifall AfD) 

Der Investo",legale
Elke Barth,SPD,['wichtig']," 

Sie haben eben angekündigt, die Umwandlung von Mietin 
Eigentumswohnungen verhindern zu wollen. Ich habe in 
der letzten Wirtschaftsausschusssitzung versucht, dem 
Staatssekretär die Information zu",wichtig
Uwe Hahn,FDP,['falsch']," Ich 
habe falsch gedrückt, Herr Präsident!) 

 Das macht nichts. Hier steht Anmeldung und Zurücksetzen, 
der Vizepräsident kennt das ja. Da drücke ich einmal 
drauf, und dann ist der Bildschirm ",falsch
Yanki Pürsün,FDP,['integriert']," 

Herr Präsident, ich frage die Landesregierung: 

Ist die ambulante Pflege nach den Ergebnissen der Befragung 
des Zentrums für Qualität in der Pflege (ZQP) angesichts 
von Kündigungen bestehender a",integriert
Michael Boddenberg,CDU,"['guten', 'falsch', 'gefährlich', 'falsch']"," So ein Quatsch!) 

Lehrkräfte  Herr Boddenberg, das will ich Ihnen sehr 
deutlich sagen  sind zum Lehren da und nicht dazu, Updates 
auf Rechnern zu installieren. 

(Beifall SPD und Torsten Felsteh","guten, falsch, gefährlich, falsch"
Günter Rudolph,SPD,"['gut', 'falsch', 'gute']"," Gut, dass überhaupt jemand 
da ist!) 

Ihnen darf man also keinen Vorwurf machen. Den Vorwurf 
machen wir der Landesregierung und ihrer Vorgängerregierung. 
Dort wurde nicht rechtzeitig dafür gesorgt","gut, falsch, gute"
Robert Lambrou,AfD,"['gute', 'gut']"," 

Sehr geehrter Herr Präsident, sehr verehrte Kolleginnen 
und Kollegen, sehr geehrte Zuschauerinnen und Zuschauer! 
Ich melde mich zu Wort, weil ich eben vom Herrn Minister 
direkt angesprochen wurd","gute, gut"
